Station,", Site Name ( 10)",", Site Stability ( )",", Water Table (Depth (m) )",", ""Notes"" (Description of Building or Instrument Housing)",", Topography ( )",", Nearby Faults ( )"
303A,Wellington Parliament Buildings,Stable,,Free field site on clay bank,On sloping ground,"Wellington (Hutt Valley) (c. 0.5 km), Ohariu S (c. 5 km), Pukerua-Shepherds (c. 8 km), Moonshine (c. 8 km), Whitemans (c. 13 km)"
304A,Haast DOC Workshop,Stable,,"Concrete floor of light, 1-storey, timber-framed shed, galvanised iron cladding (about 20m x 20m)",Broad (>2km wide) flat coastal plain close to Haast River,Alpine (Fiordland-Kaniere) (c. 3 km) 
305A,Fairlie District Council Garage,Stable,,"Concrete floor of 2-storey building, ground floor concrete-block walls with stone facing, top floor stucco over timber frame(?), clay tile roof(?)","Flat land, near edge of alluvial plain","Brothers (c. 2 km), Albury (c. 6 km), Fox Pk (c. 11 km), Hunter (c. 15 km), Opawa (c. 15 km)"
306A,Wanganui Civil Defence,Stable,,"Concrete floor of light, timber framed building, corrugated iron roof.",Flat land. Site 600m from river edge of 1500m wide river terace; floodplain of Wanganui river,Nukumaru-Waitototara 1-6 (c. 23 km) 
340A,Massey University,Stable,,"Accelerograph array in Veterinary Sciences building of Massey University. A - Remote site, floor of 3m deep concrete services tunnel, B - Ground floor of reinforced concrete building, C - 4th floor, D - 8th (top) floor",Old terrace above Manawatu River,"Pahongina Anticline (c. 9 km), North Ohariu (c. 9 km), Wellington (Pahiatua) (c. 11 km), Ruahine S (c. 17 km), Ruahine Reverse (c. 17 km)"
464A,Lower Hutt Mandel Mews,Stable,,"Concrete floor of timber-framed house, timber cladding, iron roof","Flat site c. 0.5 km from eastern side of Hutt valley floor, 1.5 km from shoreline.","Wellington (Hutt Valley) (c. 3 km), Whitemans (c. 5 km), Moonshine (c. 8 km), Ohariu S (c. 11 km), Ohariu C (c. 13 km)"
465A,Lower Hutt Naenae Collett Street,Stable,,"On concrete wall of basement garage, about 1m below ground surface","Flat site on valley floor, about 100m from eastern side of valley","Wellington (Hutt Valley) (c. 3 km), Whitemans (c. 4 km), Moonshine (c. 9 km), Ohariu S (c. 13 km), Ohariu C (c. 13 km)"
467A,Lower Hutt Croft Combined Carriers,Stable,1,Concrete floor of steel framed warehouse with concrete block perimeter wall,Reclamation at mouth of Hutt River.,"Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 11 km), Ohariu C (c. 14 km)"
468A,Lower Hutt Naenae Substation,Stable,,Concrete floor of small brick and reinforced concrete transformer building,"Flat site on valley floor, previous ""Naenae Swamp""","Wellington (Hutt Valley) (c. 3 km), Whitemans (c. 4 km), Moonshine (c. 8 km), Ohariu S (c. 13 km), Ohariu C (c. 13 km)"
469A,Lower Hutt Emergency Management Office,Stable,2,On concrete ground floor of 2 storied steel framed light weight building,"Flat ground on valley floor, ~500m from western side of Hutt Valley.","Wellington (Hutt Valley) (c. 1 km), Moonshine (c. 6 km), Whitemans (c. 7 km), Ohariu S (c. 10 km), Ohariu C (c. 11 km)"
501A,Christchurch Police Station,Stable,5,"Accelerograph array in 12 storey reinforced concrete building, no free-field site. CCPS - sub basement, 501A - Basement (level 1), B - Level 6, C - Level 13 room 1301, D - Level 13 room 1309. Building piled.",Flat site on floodplain of Waimakariri River.,Pegasus1NW (c. 24 km) 
502A,Christchurch Cant. Univ. Arts Block,Stable,8,"Accelerograph array in 12 storey reinforced concrete building. No free-field site. A - Ground floor, B - Level 5, C - Level 12 west, D - Level 12 east. Building piled.",Flat site on floodplain of Waimakariri River.,Pegasus1NW (c. 25 km) 
503A,Christchurch Canterbury Savings Bank,Stable,5,"Accelerograph array in 15 storey reinforced concrete building. No free-field instrument. A - Basement, B - 7th floor, C - Mezzanine (15th floor level), D - Basement. Building piled. Building now named Westpac Bank (see WPBS).",Flat site on floodplain of Waimakariri River.,Pegasus1NW (c. 24 km) 
504A,Gore Civic Centre,Stable,,Concrete floor of basement of 2-storey reinforced-concrete building,Alluvial plain of Mataura River. The river bed is 7m below the valley floor.,"Hokonui (c. 9 km), Spylaw (c. 17 km) "
505A,Arthurs Pass Police Station,Low Landslide Susceptibility,,"Concrete floor of basement, with concrete block walls, beneath large 1-storey wooden house",Bottom of U-shaped valley on fan coming out of Rough Creek. Near centre of 300m wide valley.,"Poulter (c. 4 km), Browning (c. 11 km), Kelly (c. 14 km) "
506A,Balclutha District Council,Low Landslide Susceptibility,,"Concrete floor of 1-storey, brick veneer clad, garage with light roof (about 10m x 15m)",Gently rolling farmland,"Settlement (c. 18 km), Akatore (c. 20 km) "
506B,Balclutha District Council,Low Landslide Susceptibility,,"Concrete floor of 1-storey, brick veneer clad, garage with light roof (about 10m x 15m)",Gently rolling farmland,"Settlement (c. 18 km), Akatore (c. 20 km) "
507A,Oamaru North Otago Museum,Stable,,On concrete floor of single storied reinforced concrete annex to massive stone building,"Coastal platform, 4m above sea level",Stonewall (c. 32 km) 
508A,Coleridge Power Station,Low Landslide Susceptibility,2,Concrete plinth in basement of massive reinforced concrete power house building,River terrace at foot of 100m terrace riser.,"Springfield (c. 4 km), Porters-Grey (c. 7 km), Torlesse (c. 10 km), Cheeseman (c. 18 km), "
601A,Petone Gear Meat Works,Stable,1.5,On concrete floor of concrete pump house partially buried in ground,"Flat site c.1km from western side of Hutt Valley, 100m from Petone shoreline.","Wellington (Hutt Valley) (c. 0.8 km), Moonshine (c. 6 km), Ohariu S (c. 8 km), Whitemans (c. 9 km), Ohariu C (c. 12 km)"
602A,Lower Hutt Kiosk Substation Belmont,Stable,,Concrete floor of reinforced concrete transformer building. Previously named Belmont Substation.,On rock ledge at toe of fault line scarp,"Wellington (Hutt Valley) (c. 0.2 km), Whitemans (c. 6 km), Moonshine (c. 6 km), Ohariu S (c. 10 km), Ohariu C (c. 10 km)"
602B,Lower Hutt Kiosk Substation Belmont,Stable,,Concrete floor of reinforced concrete transformer building. Previously named Belmont Substation.,On rock ledge at toe of fault line scarp,"Wellington (Hutt Valley) (c. 0.2 km), Whitemans (c. 6 km), Moonshine (c. 6 km), Ohariu S (c. 10 km), Ohariu C (c. 10 km)"
602C,Lower Hutt Kiosk Substation Belmont,Stable,,Concrete floor of reinforced concrete transformer building. Previously named Belmont Substation.,On rock ledge at toe of fault line scarp,"Wellington (Hutt Valley) (c. 0.2 km), Whitemans (c. 6 km), Moonshine (c. 6 km), Ohariu S (c. 10 km), Ohariu C (c. 10 km)"
603A,Petone Woollen Mills Substation,Stable,,Concrete floor of reinforced concrete transformer building. (Now named Overbridge Substation),Rock site under Esplanade over-bridge,"Wellington (Hutt Valley) (c. 0.3 km), Moonshine (c. 5 km), Ohariu S (c. 7 km), Whitemans (c. 10 km), Ohariu C (c. 11 km)"
603B,Petone Overbridge Substation,Stable,,Concrete floor of reinforced concrete transformer building. (Previously named Woollen Mills Substation),Rock site under Esplanade over-bridge,"Wellington (Hutt Valley) (c. 0.3 km), Moonshine (c. 5 km), Ohariu S (c. 7 km), Whitemans (c. 10 km), Ohariu C (c. 11 km)"
604A,Lower Hutt Elizabeth St. Pumping Station Moera,Stable,,Concrete floor of single storey reinforced concrete building,"Flat site 500m from eastern side of Hutt valley floor, ~1.5 km from shoreline.","Wellington (Hutt Valley) (c. 3 km), Whitemans (c. 6 km), Moonshine (c. 8 km), Ohariu S (c. 11 km), Ohariu C (c. 13 km)"
605A,Lower Hutt Naenae Reservoir,Stable,,"On concrete slab 8m below surface, at base of water storage reservoir",Hill with completely weathered Greywacke near surface. Site excavated into it. Eastern side of Hutt Valley.,"Wellington (Hutt Valley) (c. 3 km), Whitemans (c. 4 km), Moonshine (c. 8 km), Ohariu S (c. 12 km), Ohariu C (c. 12 km)"
605B,Lower Hutt Naenae Reservoir,Stable,,"On concrete slab 8m below surface, at base of water storage reservoir",Hill with completely weathered Greywacke near surface. Site excavated into it. Eastern side of Hutt Valley.,"Wellington (Hutt Valley) (c. 3 km), Whitemans (c. 4 km), Moonshine (c. 8 km), Ohariu S (c. 12 km), Ohariu C (c. 12 km)"
606A,Lower Hutt INS GNS,Stable,,Concrete floor of 2 storey (equivalent) light steel framed building,Rock site cut into hillside to east of Hutt Valley,"Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
606B,Lower Hutt INS GNS,Stable,,Concrete floor of 2 storey (equivalent) light steel framed building,Rock site cut into hillside to east of Hutt Valley,"Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
607A,Petone Fire Station Buick Street,Stable,,Concrete floor of 2 storey brick building,"Flat ground on valley floor. Near centre of Hutt Valley, c. 200m from shoreline.","Wellington (Hutt Valley) (c. 1 km), Moonshine (c. 6 km), Whitemans (c. 8 km), Ohariu S (c. 9 km), Ohariu C (c. 12 km)"
608A,Petone Municipal Building,Stable,,Concrete floor in concrete block basement of light timber framed building,"Flat ground on valley floor. Near centre of Hutt Valley, c. 500m from shoreline.","Wellington (Hutt Valley) (c. 1 km), Moonshine (c. 6 km), Whitemans (c. 8 km), Ohariu S (c. 9 km), Ohariu C (c. 12 km)"
608B,Petone Municipal Building,Stable,,Concrete floor in concrete block basement of light timber framed building,"Flat ground on valley floor. Near centre of Hutt Valley, c. 500m from shoreline.","Wellington (Hutt Valley) (c. 1 km), Moonshine (c. 6 km), Whitemans (c. 8 km), Ohariu S (c. 9 km), Ohariu C (c. 12 km)"
640A,Lower Hutt GNS Hutton Building(GPS room),Stable,,"Concrete floor of light, single storey, steel framed, asbestos-clad, warehouse.",flat alluvium,"Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
640B,Lower Hutt GNS Hutton Building(GPS room),Stable,,"Concrete floor of light, single storey, steel framed, asbestos-clad, warehouse.",flat alluvium,"Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
641A,Lower Hutt GNS Sunbeam Building (EARSS room),Stable,3,Concrete floor of 3 storey reinforced concrete framed building,Building on edge of 2m bank (modified),"Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
642A,Lower Hutt PEL DSIR (electrical standards laboratory),Stable,,"Concrete floor of 2 storey timber building (Sites 249A, 249B, 642A, 642B, 642G, 642H)","Flat site on floor of Hutt Valley, 50m from hill on eastern side, ~2km from shoreline.","Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
642B,Lower Hutt PEL DSIR (lightwell),Stable,,"Concrete floor of 2 storey timber building (Sites 249A, 249B, 642A, 642B, 642G, 642H)","Flat site on floor of Hutt Valley, 50m from hill on eastern side, ~2km from shoreline.","Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
642C,Lower Hutt PEL DSIR (tape tunnel),Stable,,"Concrete floor of reinforced concrete tunnel, 3m deep, beneath 2 storey reinforced concrete building (Sites 250A, 642C, 642E, 642F, 642T, 642V)","Flat site on floor of Hutt Valley, 50m from hill on eastern side, ~2km from shoreline.","Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
642E,Lower Hutt PEL DSIR (tape tunnel),Stable,,"Concrete floor of reinforced concrete tunnel, 3m deep, beneath 2 storey reinforced concrete building (Sites 250A, 642C, 642E, 642F, 642T, 642V)","Flat site on floor of Hutt Valley, 50m from hill on eastern side, ~2km from shoreline.","Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
642F,Lower Hutt PEL DSIR (tape tunnel DCA),Stable,,"Concrete floor of reinforced concrete tunnel, 3m deep, beneath 2 storey reinforced concrete building (Sites 250A, 642C, 642E, 642F, 642T, 642V)","Flat site on floor of Hutt Valley, 50m from hill on eastern side, ~2km from shoreline.","Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
642G,Lower Hutt IRL (Electrical Standards Laboratory),Stable,,"Concrete floor of 2 storey timber building (Sites 249A, 249B, 642A, 642B, 642G, 642H)","Flat site on floor of Hutt Valley, 50m from hill on eastern side, ~2km from shoreline.","Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
642H,Lower Hutt GNS (old workshop),Stable,,"Concrete floor of 2 storey timber building (Sites 249A, 249B, 642A, 642B, 642G, 642H)","Flat site on floor of Hutt Valley, 50m from hill on eastern side, ~2km from shoreline.","Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
642T,Lower Hutt PEL DSIR (tape tunnel temp),Stable,,"Concrete floor of reinforced concrete tunnel, 3m deep, beneath 2 storey reinforced concrete building (Sites 250A, 642C, 642E, 642F, 642T, 642V)","Flat site on floor of Hutt Valley, 50m from hill on eastern side, ~2km from shoreline.","Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
642V,Lower Hutt PEL DSIR (tape tunnel vertical),Stable,,"On concrete wall of reinforced concrete tunnel, 3m deep, beneath 2 storey reinforced concrete building (Sites 250A, 642C, 642E, 642F, 642T, 642V)","Flat site on floor of Hutt Valley, 50m from hill on eastern side, ~2km from shoreline.","Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
643A,Lower Hutt Haywards Substation,Stable,,Concrete plinth on floor of 2m deep concrete services tunnel,Edge of terrace above Hutt river,"Wellington (Hutt Valley) (c. 0.6 km), Whitemans (c. 4 km), Moonshine (c. 5 km), Akatarawa-Otaki (c. 7 km), Ohariu C (c. 10 km)"
643B,Lower Hutt Haywards Substation,Stable,,Concrete plinth on floor of 2m deep concrete services tunnel,Edge of terrace above Hutt river,"Wellington (Hutt Valley) (c. 0.6 km), Whitemans (c. 4 km), Moonshine (c. 5 km), Akatarawa-Otaki (c. 7 km), Ohariu C (c. 10 km)"
644A,Petone Wellington Newspapers,Stable,,"Two-accelerograph array in a base isolated, reinforced concrete, shear wall building. The building is isolated with 42 lead-rubber bearings, which are supported on piles. Site C - concrete wall in basement (below bearings, unisolated), Site D - concrete floor of press hall (isolated)","Flat site on floor of Hutt Valley, 200m from western side, 1200m from shoreline.","Wellington (Hutt Valley) (c. 0.1 km), Moonshine (c. 6 km), Ohariu S (c. 8 km), Whitemans (c. 8 km), Ohariu C (c. 11 km)"
644C,Petone Wellington Newspapers,Stable,,"Two-accelerograph array in a base isolated, reinforced concrete, shear wall building. The building is isolated with 42 lead-rubber bearings, which are supported on piles. Site C - concrete wall in basement (below bearings, unisolated), Site D - concrete floor of press hall (isolated)","Flat site on floor of Hutt Valley, 200m from western side, 1200m from shoreline.","Wellington (Hutt Valley) (c. 0.1 km), Moonshine (c. 6 km), Ohariu S (c. 8 km), Whitemans (c. 8 km), Ohariu C (c. 11 km)"
645A,Wainuiomata Fire Station,Stable,,"Concrete floor of light timber framed shed, galvanised iron roof",Alluvial valley,"Whitemans (c. 1 km), Wellington (Hutt Valley) (c. 7 km), Wairarapa-Nicholson (c. 11 km), Moonshine (c. 12 km), Ohariu S (c. 15 km)"
